trade_date,positions,daily_return,equity
20240416,10,0.01844953894615168,1.0422073102761695
20240417,10,-0.00269491672515866,1.0393986483646236
20240418,10,-0.005557072162628159,1.0336226350699231
20240419,10,-0.014680922031402588,1.0184481017545688
20240422,10,-0.00964166522026061,1.0086285661132413
20240423,10,0.005155730247497549,1.0138287829200414
20240424,10,0.00854513645172117,1.0224920882087756
20240425,10,0.01227576136589049,1.0350439570821377
20240426,10,0.04516116380691523,1.0817877467752817
20240429,10,-0.005696940422058079,1.0756248664325905
20240430,10,0.00873938202857969,1.085025163059785
20240506,10,0.0030148565769195406,1.0882963583087588
20240507,10,-0.02321616411209104,1.0630302914516716
20240508,10,0.008118116855621301,1.0716600955787414
20240509,10,-0.006424230337142918,1.064775504281619
20240510,10,-0.036990350484847986,1.0253890851905612
20240513,10,0.010095453262329081,1.035740852775805
20240514,10,-0.0009204924106597699,1.0347874611814145
20240515,10,0.009202057123184159,1.0443096345095606
20240516,10,0.02373715639114378,1.0690985756246922
20240517,10,0.00840730667114255,1.0780868152116507
20240520,10,-0.01732720136642451,1.0594065878739911
20240521,10,0.00973562002182005,1.0697205678621453
20240522,10,-0.010784411430358843,1.058184261142803
20240523,10,-0.00809338688850404,1.0496199665180486
20240524,10,-0.00252149701118472,1.0469733529095935
20240527,10,-0.014045000076293909,1.0322686120881006
20240528,10,-0.01006541848182676,1.0218783965217795
20240529,10,-0.01105865836143489,1.0105777924477142
20240530,10,-0.0010341644287109398,1.0095326888423195
20240531,10,-0.017921960353851275,0.9914398840169706
20240603,10,0.00851355195045469,0.9998805589753018
20240604,10,-0.022138303518295238,0.9777448996786638
20240605,10,-0.01983851194381712,0.9583478958083824
20240606,10,0.01525932550430296,0.9729716382968864
20240607,10,-0.0068644165992736705,0.9662927556323386
20240611,10,0.0104737341403961,0.9764134490566225
20240612,10,-0.0062148332595825095,0.9703452022783218
20240613,10,-0.00259516239166258,0.9678269989024388
20240614,10,0.004238766431808471,0.9719293914971844
20240617,10,0.010889196395873971,0.9825129215241195
20240618,10,-0.01206009984016414,0.9706637175962873
20240619,10,-0.02530318498611444,0.946102833990639
20240620,10,0.00306138992309571,0.9489992236728303
20240621,10,-0.01756471991539,0.9323303181090945
20240624,10,-0.0014360666275024705,0.9309914296534493
20240625,10,0.007578849792480462,0.9380472738568794
20240626,10,-0.022999858856201122,0.9164723189577269
20240627,10,0.00178920030593872,0.9181120715111905
20240628,10,0.024330300092697113,0.9404500137297855
20240701,10,-0.00023955702781677102,0.9402247223196862
20240702,10,0.008862316608428941,0.9485572914919554
20240703,10,-0.02427619099617001,0.925529933512887
20240704,10,0.0062734484672546205,0.9313361978556818
20240705,10,-0.025658917427062937,0.9074391192580681
20240708,10,0.00652391314506527,0.9133591732565421
20240709,10,-0.00470518469810483,0.9090616496506617
20240710,10,0.020060074329376197,0.9272974939126393
20240711,10,-0.007229185104370099,0.9205938886823263
20240712,10,-0.014211744070053078,0.9075106439439181
20240715,10,-0.0010732293128967196,0.9065366769190717
20240716,10,-0.0015501081943511902,0.9051314469876995
20240717,10,0.00720981955528256,0.9116572813942927
20240718,10,-0.01877611279487608,0.8945399014485633
20240719,10,-0.00814299583435058,0.8872556667574073
20240722,10,-0.008394414186477652,0.8798076752013462
20240723,10,-0.012928807735443082,0.8684328109245009
20240724,10,-0.00014179348945617988,0.8683096728058817
20240725,10,0.017494642734527534,0.883500440314555
20240726,10,-0.0052055835723876995,0.8789013049362563
20240729,10,0.008863520622253401,0.8866914647774842
20240730,10,0.034746837615966725,0.9175011891195711
20240731,10,0.010882562398910531,0.9274859530612396
20240801,10,0.00032916069030765083,0.9277912449778
20240802,10,-0.0174608170986175,0.911591251743544
20240805,10,0.00830745697021483,0.9191642568418278
20240806,10,-0.0047640144824981495,0.9147853450104386
20240807,10,0.00886554121971127,0.9228954121938163
20240808,10,0.015386992692947372,0.9370959971575972
20240809,10,-0.029384756088256803,0.9095596598498394
20240812,10,0.00837355256080627,0.917175905468781
20240813,10,-0.00755031704902646,0.9102509365927638
20240814,10,0.02241390347480771,0.9306532132234072
20240815,10,0.0006937205791473593,0.9312988265094698
20240816,10,0.0112043797969818,0.9417334522661654
20240819,10,-0.0022084891796111806,0.9396536441267578
20240820,10,0.005775827169418341,0.945080921174348
20240821,10,0.0020818591117859084,0.9470484465014699
20240822,10,0.03243967294692991,0.9777703883708756
20240823,10,0.016373723745346062,0.9937801305964401
20240826,10,0.004908895492553729,0.9986584934001145
20240827,10,0.005069142580032342,1.00372083569192
20240828,10,0.01060685515403747,1.0143671572111936
20240829,10,0.026327949762344337,1.041073364766822
20240830,10,-0.03370213508605952,1.005986969592952
20240902,10,0.014511656761169393,1.020585507201894
20240903,10,0.013876706361770644,1.0347478726024133
20240904,10,-0.004936140775680549,1.0296402114359118
20240905,10,-0.012329584360122641,1.0169451755884382
20240906,10,0.013909822702407832,1.0310907026789424
20240909,10,0.012615674734115599,1.0440986076053105
20240910,10,-0.01430701613426208,1.0291606719805406
20240911,10,0.0114411354064941,1.0409354385837084
20240912,10,-0.00315862894058228,1.0376475097821203
20240913,10,0.00885154008865357,1.0468322883128482
20240918,10,0.04221597909927363,1.0910253383167081
20240919,10,0.02380971908569334,1.1170023451374025
20240920,10,0.02274771332740782,1.1424115942706303
20240923,10,0.01782197952270506,1.1627716303102222
20240924,10,0.01051484942436215,1.1749979989178543
20240925,10,0.05233181715011592,1.2364877793489755
20240926,10,0.03737971782684322,1.2827073436373801
20240927,10,0.09262526035308835,1.401518445298611
20240930,10,0.051380562782287545,1.4735292517678105
20241008,10,-0.09003902077674862,1.3408541208527418
20241009,10,0.00992487668991087,1.3541619326613643
20241010,10,-0.029939484596252404,1.313619022337618
20241011,10,0.02253929376602168,1.3432270673787197
20241014,10,-0.011674100160598718,1.3275461000557134
20241015,10,-0.00045138597488408004,1.3269468643651363
20241016,10,-0.013516145944595298,1.309011656885654
20241017,10,0.01593953967094418,1.3298767001203111
20241018,10,0.025779521465301485,1.364160285057267
20241021,10,0.038743770122528026,1.417012997551808
20241022,10,-0.002527397871017431,1.4134316419185915
20241023,10,0.0008693218231201297,1.4146603688903998
20241024,10,0.04666421413421628,1.4806743832714906
20241025,10,0.059193885326385455,1.5683212529205797
20241028,10,0.03090671300888061,1.6167929077903243
20241029,10,0.03851160407066341,1.679058196119402
20241030,10,0.0650244832038879,1.7882380875913184
20241031,10,-0.01736242175102231,1.7571899437233163
20241101,10,-0.010680896043777468,1.7384215806052363
20241104,10,0.016683071851730312,1.767423792743072
20241105,10,0.003114014863967908,1.7729275767046044
20241106,10,0.017826843261718718,1.8045332787288964
20241107,10,-0.003523921966552711,1.7981742442686082
20241108,10,0.02006608247756959,1.8342565569631435
20241111,10,-0.013084858655929538,1.8102555691765687
20241112,10,-0.00982434153556824,1.7924710001983137
20241113,10,-0.02496881484985348,1.7477151236706303
20241114,10,-0.015125596523284879,1.7212798898723456
20241115,10,-0.016272294521331783,1.6932707165506973
20241118,10,0.01994406580924984,1.7270414191544599
20241119,10,0.0006574988365173086,1.7281769468781711
20241120,10,0.0014766693115234285,1.7307288927405082
20241121,10,-0.032204431295394846,1.6749917530232916
20241122,10,-0.0033851563930511405,1.669321643982237
20241125,10,-0.0013130068778991698,1.6671298131822623
20241126,10,0.005492150783538798,1.6762859414919922
20241127,10,0.013342118263244607,1.698651146766393
20241128,10,0.0018884539604186704,1.7018589712518737
20241129,10,0.012980318069458,1.7239496420080838
20241202,10,-0.000619155168533319,1.7228822496769434
20241203,10,-0.0037822723388671402,1.716365839800865
20241204,10,0.025912731885910013,1.7608415676257596
20241205,10,0.01475117206573485,1.7868160445703056
20241206,10,-0.0324849665164947,1.7287713851913038
20241209,10,-0.0021066188812255996,1.7251295227499372
20241210,10,0.00605018734931943,1.7355668795644166
20241211,10,0.015376824140548681,1.7622543862556395
20241212,10,-0.01912934780120847,1.72854360918675
20241213,10,0.00045148730278018036,1.7293240246785997
20241216,10,-0.04497184753417964,1.6515531283035598
20241217,10,0.0016449928283691503,1.6542699213552896
20241218,10,-0.008165293931961021,1.6407623212046216
20241219,10,0.004484307765960679,1.6481200044236952
20241220,10,-0.045591479539871166,1.5729797749627599
20241223,10,0.015039384365081742,1.5966364223969247
20241224,10,-0.014000630378723112,1.5742825059977386
20241225,10,-0.0003653526306152199,1.5737073377428408
20241226,10,0.0169922053813934,1.6004480960359728
20241227,10,-0.013516008853912343,1.5788164253997234
20241230,10,-0.02412133216857905,1.540733269969448
20241231,10,-0.0153979122638702,1.5170091942564325
20250102,10,-0.02226346135139459,1.4832353186903942
20250103,10,0.00247654914855957,1.4869086238560105
20250106,10,0.0027169048786163295,1.4909484131502218
20250107,10,-0.007707774639129609,1.479456518783092
20250108,10,0.00424990057945252,1.485744061899543
20250109,10,-0.02692921161651606,1.445734145648668
20250110,10,0.005842143297195399,1.454180331697196
20250113,10,0.05045737028121942,1.5275544471493079
20250114,10,-0.006109064817428581,1.5182225180195215
20250115,10,0.0156491696834564,1.5419814398212535
20250116,10,-0.01874464750289916,1.513077541275791
20250117,10,0.004040455818176271,1.5191910642307909
20250120,10,-0.006244486570358239,1.5097044960323935
20250121,10,-0.019022929668426482,1.4809854935842621
20250122,10,0.006759977340698229,1.4909969219627948
20250123,10,-0.005520093441009541,1.4827664796333024
20250124,10,-0.01172462701797483,1.4653815957048464
20250127,10,0.0009062826633453498,1.4667096456402189
20250205,10,0.016140305995941108,1.4903827881280503
20250206,10,0.020633262395858717,1.5211342472657678
20250207,10,0.034305924177169766,1.5733181634157634
20250210,10,-0.00839797258377073,1.5601054806138492
20250211,10,0.03661023378372187,1.617221306986388
20250212,10,0.0032982945442199497,1.6225553792000176
20250213,10,-0.004723596572875979,1.6148910821715268
20250214,10,0.01387652754783627,1.6373001627600352
20250217,10,0.0005584061145782595,1.6382144411823203
20250218,10,0.016153275966644263,1.6646769711432803
20250219,10,0.008763068914413441,1.6792646501616457
20250220,10,-0.009065383672714231,1.6640414718199041
20250221,10,0.0038762450218200613,1.6704917042911482
20250224,10,-0.009105801582336401,1.655280538286934
20250225,10,0.01775991320610042,1.684678176978657
20250226,10,0.011933153867721572,1.704781700882136
20250227,10,-0.026001685857772804,1.660454502639719
20250228,10,0.013750666379928573,1.683286858544568
20250303,10,0.024259155988693208,1.7241219770197178
20250304,10,0.0017713606357574606,1.7271760188210548
20250305,10,0.01753007173538203,1.7574535383306196
20250306,10,-0.0013398706912994198,1.75509877784329
20250307,10,-0.007720714807510391,1.741548160720552
20250310,10,0.00244606137275697,1.7458080944052867
20250311,10,0.01364243030548093,1.7696251596599553
20250312,10,0.00019450783729552996,1.7699693656225846
20250313,10,0.013105112314224199,1.7931650129518049
20250314,10,0.00512846708297728,1.8023612006950747
20250317,10,0.015558969974517788,1.8304040844999252
